name,densidade demografica 2019 (hab/km2),old_rel_2010,(mean) Percentual da população que vive em domicílios com densidade superior a 2 pessoas por dormitório,(mean) Percentual de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados,(mean) Índice de Desenvolvimento Humano Municipal,est_active_cases (2020-06-14),FOI,vel_infection,Class,Bandeira
Peixinhos,1.57323529411765,0.0420639371845205,3.63,43.44,615,15,0.0072428095014204,1.03174603174603,4,Laranja
Pina,0.496438791732909,0.0766028309741882,3.88333333333333,25.0022222222222,0.772444444444444,160,0.0152057270416851,0.714285714285714,4,Laranja
Ponto de Parada,0.8315,0.0974143114852676,2.825,15.215,0.8445,5,0.00780246050493138,0.164835164835165,2,Verde
Porto da Madeira,1.71979166666667,0.0737734706238643,1.04,23.18,0.7845,20,0.00614802924028368,0.425219941348974,2,Verde
Poço,0.609753086419753,0.103664709455355,0,5.09,941,30,0.0156142009163343,0.752032520325203,2,Verde
Prado,0.985433070866142,0.0775868957251298,965,21.7033333333333,0.792166666666667,50,0.0104389471402031,0.699588477366255,2,Verde
Rosarinho,1.7452,0.0841164336465735,1.405,13.715,0.8685,55,0.0325804841753542,0.803886925795053,4,Laranja
San Martin,1.33985221674877,0.0831648222361116,2.48,27.6933333333333,0.746666666666667,80,0.00795290621880105,0.566608996539792,3,Amarela
Sancho,1.90253968253968,0.0691640246954781,1.85333333333333,31.21,0.712666666666667,50,0.0105964249983333,0.566835871404399,3,Amarela
Santa Terezinha,2.65935483870968,0.0607714701601164,2.45,36.32,664,0,0,0,4,Laranja
Santana,0.695531914893617,0.113184460079535,0,5.09,941,10,0.00805792956567824,0.534351145038168,2,Verde
Santo Amaro,0.786894736842105,0.0850110360511003,5.435,31.61,0.72625,170,0.0193024576680059,0.789473684210526,5,Vermelha
Santo Antônio,0.0376543209876543,0.147540983606557,2.85,14.64,841,5,0.0465490616147304,0.517241379310345,5,Vermelha
Soledade,0.834375,0.128089887640449,5.33,7.52,893,5,0.00468815906907964,0.279503105590062,3,Amarela
São José,0.28521472392638,0.0597978059797806,4.5,26.495,0.7575,15,0.00468781494628789,0.368852459016394,3,Amarela
Sítio dos Pintos,0.432611111111111,0.047643508411455,2.23666666666667,26.64,744,35,0.011174924661823,1.94214876033058,3,Amarela
Tamarineira,1.48196078431373,0.111206668430802,1.535,7.64,0.9075,85,0.0159327380508177,0.746268656716418,3,Amarela
Tejipió,1.01531914893617,0.0944048616932104,1.5625,21.2725,792,45,0.0120058702593827,0.546021840873635,3,Amarela
Torre,1.63769230769231,0.0794321799488544,3.6225,24.335,0.77575,120,0.0179630022735381,0.695618754803997,4,Laranja
Torreão,0.724375,0.130284728213978,5.33,7.52,893,15,0.0328412058997768,1.12676056338028,4,Laranja
Torrões,2.03952380952381,0.051395050198459,1.44666666666667,22.08,784,125,0.00965157482336461,0.535055350553506,3,Amarela
Totó,1.85,0.0749034749034749,2.76,40.7,674,20,0.019186379814152,0.711743772241993,4,Laranja
Vasco da Gama,2.07525,0.0700819178412239,1.415,32.705,708,135,0.0113534269205566,0.691913439635535,4,Laranja
Várzea,0.334376940133038,0.0607278321529933,2.975,24.8921428571429,0.765428571428571,240,0.0104659243692858,0.638007505970658,4,Laranja
Zumbi,1.57487804878049,0.0878116772494967,0.686666666666667,25.9233333333333,0.770333333333333,30,0.0116556070779647,625,3,Amarela
